,Poster_Link,Series_Title,Released_Year,Runtime,Genre,Rating,Overview,Director,Star1,Star2
770,https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/c1374e2e-8152-4b18-94f2-16595440a6e8/300x450,Ночная смена,2018,1 ч 36 мин,комедия,6.7,"Макс теряет работу на заводе и, чтобы прокормить семью, вынужден согласиться на неожиданное предложение бывшей одноклассницы – поработать стриптизером. Скрывая новую профессию от жены Ани, Макс попадает в массу удивительных и нелепых ситуаций и в итоге теряет доверие любимой женщины. Стремясь вернуть мир и гармонию в семью, он обращается за помощью к коллегам из стрип-клуба, что и вовсе приводит к веселому хаосу...",Марюс Вайсберг,Владимир Яглыч,Павел Деревянко
771,https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/f447fab2-8f15-4b8b-a72e-757e7028f3ba/300x450,Рядовой Чээрин,2021,1 ч 35 мин,"военный, история, боевик, драма",7.4,"Глубокая осень 1943 года. Немецкие снайперы хозяйничают на передовой. Молодой охотник Егор Чээрин, только прибывший на фронт, становится снайпером. В первом же бою ему удается проявить себя, он вступает в схватку с немецкими захватчиками и меняет баланс сил на передовой.",Дмитрий Кольцов,Айтал Степанов,Александр Казанцев
772,https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/2c0c08bf-7db1-4862-8007-feb50b81e4ee/300x450,Без меня,2018,1 ч 37 мин,"драма, мелодрама",7.2,"Две девушки, любившие одного мужчину, после его гибели получают сообщения, автором которых может быть только он. В надежде на чудо им вдвоем предстоит отправиться в путь, который прокладывают его подсказки, чтобы открыть тайну, стоящую за загадочными посланиями.",Кирилл Плетнёв,Полина Максимова,Любовь Аксёнова
773,https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/80b5ec8f-0294-40c9-8779-716e4926cd42/300x450,Иван Царевич и Серый Волк 3,2015,1 ч 16 мин,"мультфильм, приключения, семейный, фэнтези",6.3,"Царь Тридевятого царства, в честь своего 150-летия решил, что с него хватит - пора на заслуженный отдых. «Я устал. Я ухожу», - заявил самодержец и с удочкой и ведёрком удалился в деревенскую глушь. А оберегать государство остались Иван с Серым Волком. Вот только Василиса, жена Ивана, заявила, что свадебного путешествия у неё не было, заграницу она не видела, «постить» в инстаграм решительно нечего и вообще. Иван спорить не стал, а вместе с Василисой, Котом - ученым и Серым Волком, погрузился на ковер-самолет и отправился в путь. А за главного в стране герои оставили самое обычное огородное пугало... Но пока компания шаталась по Миланам и Парижам, Пугало ожило и начало наводить свои порядки в Тридевятом царстве...",Дарина Шмидт,Никита Ефремов,Иван Охлобыстин
774,https://avatars.mds.yandex.net/get-kinopoisk-image/1629390/21f72665-ff0a-4ef5-a720-92b7e04a2a06/300x450,Лев Яшин. Вратарь моей мечты,2019,2 ч,"биография, спорт, драма",7.7,"1949 год. Заменив знаменитого Хомича, молодой вратарь Лев Яшин играет первую игру в основном составе московского «Динамо» и пропускает стыдный гол в пустые ворота. Начинающему спортсмену предстоит многому научиться и преодолеть множество трудностей, прежде чем стать всемирно признанным гениальным голкипером, известным молниеносной реакцией и потрясающим видением поля.",Василий Чигинский,Александр Фокин,Юлия Хлынина
775,https://avatars.mds.yandex.net/get-kinopoisk-image/10835644/ac4dabeb-b12c-4654-8a63-c6278de8ad73/300x450,Ивановы-Ивановы. Новогодние каникулы (ТВ,2023,1 ч 52 мин,"комедия, семейный",7.6,"Ивановы готовятся встретить Новый год в Египте. Но на борту самолёта сталкиваются с грабителями, которые пытаются вывезти за границу кольцо, украденное из музея. В полёте завязывается драка, из-за чего самолёт экстренно садится в Ереване. На носу Новый год, гостиницы заняты, но всех выручает брат Гамлета — Давид. Казалось бы, теперь можно спокойно отметить праздник, но украденное кольцо случайно попадает к Ивановым, а грабители не оставляют попыток его вернуть. Так начинаются приключения Ивановых в Армении.",Антон Федотов,Михаил Трухин,Станислав Дужников
776,https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/a5e18cad-099d-4e94-a0bb-9080fe27d1b9/300x450,Финник,2022,1 ч 25 мин,"мультфильм, приключения, детский",7.8,"Мало кто знает, но в каждом доме живет… свой домовой! Это забавное мохнатое существо тайно обитает в мире людей и хранит домашний очаг. Домовой Финник — добрый, озорной, но немного вредный. Он любит подшутить над жильцами своего дома, поэтому ни одна семья не задерживается в его владениях надолго. Но все меняется, когда в дом въезжают находчивая девочка Кристина и ее родители: на них уловки домового совсем не действуют! Вскоре Кристина знакомится с Финником и узнает тайны жизни домовых. Тем временем, в их городке начинают происходить странные и пугающие события… Отважной девочке и домовому придется стать командой, чтобы разобраться в происходящем и спасти город.",Денис Чернов,Михаил Хрусталёв,Вероника Макеева
777,https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/b5b07dd4-b620-4134-b9fb-d66a6732df6a/300x450,Родители строгого режима,2022,1 ч 19 мин,"комедия, драма",7.2,Родители запирают сына дома на перевоспитание. Ему 38 лет. Он — мэр.,Никита Владимиров,Алиса Фрейндлих,Александр Адабашьян
778,https://avatars.mds.yandex.net/get-kinopoisk-image/1777765/bc583f62-0bc3-4c12-9b19-05008f85e26b/300x450,Иван Царевич и Серый Волк 2,2013,1 ч 10 мин,"мультфильм, приключения, семейный, фэнтези",5.4,"В Тридевятом царстве, где живут наши герои – тишь, да благодать. Иван женился на Василисе, и «жили они долго и счастливо», да не тут-то было. Иван целыми днями пропадает с Волком на службе - укрепляет рубежи и оборонную мощь, мечтает перевести стрелки часов на семь часов назад, чтобы меньше спать, и больше работать. А Василисе - скучно, как всем девушкам, ей хочется романтики, ну, такой, как в сказках. И тогда она решает организовать свое похищение... Однако, когда такое бывало, что в сказках все получалось так, как задумывалось?",Владимир Торопчин,Никита Ефремов,Татьяна Бунина
779,https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/1b615e0d-1d0b-4898-bf07-66c99fcbb64c/300x450,Ёлки-иголки,2022,1 ч 43 мин,"комедия, семейный",7.2,"Катя — ландшафтный дизайнер. 31 декабря она развозит новогодние елки заказчикам. Последняя елочка из невыполненного заказа могла бы стать единственным Катиным гостем на Новый год, но мама полна решимости познакомить дочь с молодым человеком. Чтобы избежать этой участи, девушка соглашается встретить дядю, своего соседа из Чикаго. С этого момента для нее начинается самый длинный день уходящего года: она заберет не того дядю из аэропорта, встретит мужчину, будет скрываться от преследования бандитов… а в Новый год снова окажется у своей елки, но одна ли?",Александр Баршак,Алина Алексеева,Павел Прилучный
780,https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/0bc2263f-a4db-467f-b3ab-2e3a3d7fa6b5/300x450,Бумер: Фильм второй,2006,1 ч 55 мин,"драма, криминал",6.1,"Константин Огородников (Кот) выходит из колонии, не отсидев положенный срок. Он стал другим человеком и мечтает начать жизнь с чистого листа. Но прежде в память о погибшем товарище он должен отыскать одного человека. Однако встреча с семнадцатилетней Дашкой переворачивает все его планы.",Пётр Буслов,Владимир Вдовиченков,Светлана Устинова
781,https://avatars.mds.yandex.net/get-kinopoisk-image/1900788/3535532a-792c-4bff-bdbd-30e9b3cd323f/300x450,Сталинград,2013,2 ч 15 мин,"военный, драма, боевик",5.7,"1942-й год. Сталинград. Советские войска планируют контрнаступление на немецкие части, занявшие правый берег Волги. Наступление сорвано. Лишь разведчикам под командованием капитана Громова удается перебраться на другой берег и закрепиться в одном из домов. Им дан приказ удержать его любой ценой. Кроме нескольких чудом уцелевших советских солдат они находят в доме его последнюю жительницу – 19-летнюю Катю. Приказ отбить дом, захваченный противником, получает немецкий офицер Кан. На фоне одного из самых кровопролитных сражений в истории человечества разворачиваются истории любви и драматического противостояния характеров.",Фёдор Бондарчук,Мария Смольникова,Янина Студилина
782,https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/2727f3c2-27e4-42e2-800b-4d989ac12c02/300x450,О чём ещё говорят мужчины,2011,1 ч 35 мин,"мелодрама, комедия",6.8,"Леша, Слава и Камиль в трудную минуту приходят на помощь своему другу Саше. Накануне Нового года он умудрился вступить в конфликт с одной женщиной, и теперь четверо друзей заперлись в офисе рекламного агентства, которым руководит Саша, пытаясь придумать выход из сложившейся ситуации и коротая время в мужских разговорах.",Дмитрий Дьяченко,Леонид Барац,Александр Демидов
783,https://avatars.mds.yandex.net/get-kinopoisk-image/4483445/99985e33-fe4a-4bd7-bef7-26471fee31bc/300x450,Верность,2019,1 ч 22 мин,драма,6.2,"Лена — талантливая акушер-гинеколог, её муж Серёжа — артист провинциального драмтеатра. Близость и нежность у них есть, секса — нет. Лена подозревает, что Серёжа завёл роман на стороне, но она мучается молча и не выдаёт свою ревность. Вместо того чтобы выяснить отношения с мужем, Лена сама начинает изменять ему со случайными мужчинами. Она, конечно, не думала, что её параллельная жизнь окажется не менее подлинной, чем основная. И не менее реальной. И настолько опасной.",Нигина Сайфуллаева,Александр Паль,Евгения Громова
784,https://avatars.mds.yandex.net/get-kinopoisk-image/10893610/4eaf75d4-57cc-4904-ba8c-4ea7e111b534/300x450,Блиндаж,2024,1 ч 54 мин,"военный, фантастика",7.1,"Сергей — врач скорой помощи. Его лучший друг немец Пауль, раньше перегонял машины из Германии в Россию — так они и познакомились. У Пауля есть и ещё одно увлечение — антиквариат. Он — чёрный копатель: ищет на полях сражений немецкие награды, каски, оружие и продаёт их за бешеные деньги. Однажды во время раскопок друзья находят засыпанный блиндаж, который переносит их в 1941 год.",Марк Горобец,Александр Метёлкин,Даниэль Литтау
785,https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/a7ef44b8-1983-4992-a889-da6f87a3f559/300x450,Иван Васильевич меняет профессию,1973,1 ч 28 мин,"комедия, фантастика, приключения",8.8,"Инженер-изобретатель Тимофеев сконструировал машину времени, которая соединила его квартиру с XVI веком — точнее, с палатами государя Ивана Грозного. Туда-то и попадают тёзка царя пенсионер-общественник Иван Васильевич Бунша и квартирный вор Жорж Милославский, а сам великий государь оказывается в квартире Тимофеева.",Леонид Гайдай,Александр Демьяненко,Юрий Яковлев
786,https://avatars.mds.yandex.net/get-kinopoisk-image/10953618/ab221a46-3981-4f6b-97bb-823f2bae3eb8/300x450,Любовь и голуби,1984,1 ч 47 мин,"мелодрама, комедия",8.3,"Ликвидируя неисправность лебедки, Василий Кузякин получил травму и путевку на юг. Там он встретил роковую женщину Раису Захаровну и… вернулся Вася с курорта не к себе в деревню, а в дом Раисы Захаровны. Началась для него новая жизнь, в которой было много непонятного и интересного, но не было дома, где остались Надя, дети и голуби.",Владимир Меньшов,Александр Михайлов,Нина Дорошина
